Gene1	Gene2	detectionMethod	intraspeciesInteraction
ARFIP1	ARFIP2	anti tag coip	Homo sapiens
ARFIP2	ARFIP1	anti tag coip	Homo sapiens
ARFIP2	ARFIP1	anti tag coip	Homo sapiens
ARFIP2	ARFIP1	anti tag coip	Homo sapiens
MEF2A	MEF2D	tap	Homo sapiens
MEF2A	MEF2D	tap	Homo sapiens
MEF2A	MEF2D	anti tag coip	Homo sapiens
AKIRIN2	AKIRIN1	anti tag coip	Homo sapiens
AKIRIN2	AKIRIN1	anti tag coip	Homo sapiens
AKIRIN2	AKIRIN1	anti tag coip	Homo sapiens
TMEM9	TMEM9B	anti tag coip	Homo sapiens
TMEM9	TMEM9B	anti tag coip	Homo sapiens
FERMT1	FERMT3	anti tag coip	Homo sapiens
FERMT1	FERMT3	anti tag coip	Homo sapiens
DAB2IP	RASAL2	anti tag coip	Homo sapiens
DAB2IP	RASAL2	anti tag coip	Homo sapiens
ETNK1	ETNK2	anti tag coip	Homo sapiens
IFIT2	IFIT3	anti tag coip	Homo sapiens
IFIT2	IFIT3	anti tag coip	Homo sapiens
IFIT3	IFIT2	anti tag coip	Homo sapiens
IFIT2	IFIT3	anti tag coip	Homo sapiens
IFIT3	IFIT2	anti tag coip	Homo sapiens
IFIT3	IFIT2	two hybrid array	Homo sapiens
IFIT2	IFIT3	anti tag coip	Homo sapiens
IFIT3	IFIT2	validated two hybrid	Homo sapiens
IFIT2	IFIT3	two hybrid array	Homo sapiens
IFIT2	IFIT3	two hybrid prey pooling approach	Homo sapiens
IFIT2	IFIT3	two hybrid pooling	Homo sapiens
FUBP3	FUBP1	anti tag coip	Homo sapiens
CHCHD10	CHCHD2	anti tag coip	Homo sapiens
CHCHD2	CHCHD10	anti tag coip	Homo sapiens
CHCHD10	CHCHD2	anti tag coip	Homo sapiens
CHCHD2	CHCHD10	anti tag coip	Homo sapiens
CHCHD10	CHCHD2	anti tag coip	Homo sapiens
CHCHD2	CHCHD10	anti tag coip	Homo sapiens
CHCHD10	CHCHD2	anti tag coip	Homo sapiens
FTL	FTH1	two hybrid prey pooling approach	Homo sapiens
FTL	FTH1	two hybrid array	Homo sapiens
DNAJA4	DNAJA2	anti tag coip	Homo sapiens
DNAJA4	DNAJA2	lumier	Homo sapiens
TCEA1	TCEA3	anti tag coip	Homo sapiens
OSBP	OSBP2	anti tag coip	Homo sapiens
OSBPL5	OSBPL8	anti tag coip	Homo sapiens
OSBPL5	OSBPL8	anti tag coip	Homo sapiens
OSBPL8	OSBPL5	anti tag coip	Homo sapiens
OSBPL5	OSBPL8	anti tag coip	Homo sapiens
OSBPL8	OSBPL5	anti tag coip	Homo sapiens
OSBPL5	OSBPL8	anti tag coip	Homo sapiens
REEP5	REEP6	anti tag coip	Homo sapiens
REEP5	REEP6	anti tag coip	Homo sapiens
STAMBPL1	STAMBP	anti tag coip	Homo sapiens
STAMBPL1	STAMBP	anti tag coip	Homo sapiens
UNC119	UNC119B	anti tag coip	Homo sapiens
UNC119	UNC119B	anti tag coip	Homo sapiens
UNC119	UNC119B	anti tag coip	Homo sapiens
TSPYL1	TSPYL4	anti tag coip	Homo sapiens
TSPYL1	TSPYL4	anti tag coip	Homo sapiens
SNTB2	SNTB1	anti tag coip	Homo sapiens
SNTB2	SNTB1	anti tag coip	Homo sapiens
SNTB2	SNTB1	anti tag coip	Homo sapiens
PACSIN3	PACSIN2	anti tag coip	Homo sapiens
PACSIN2	PACSIN3	two hybrid array	Homo sapiens
PACSIN3	PACSIN2	validated two hybrid	Homo sapiens
PACSIN2	PACSIN3	two hybrid prey pooling approach	Homo sapiens
PCBD1	PCBD2	two hybrid array	Homo sapiens
PCBD1	PCBD2	two hybrid array	Homo sapiens
PHTF2	PHTF1	anti tag coip	Homo sapiens
PHTF2	PHTF1	anti tag coip	Homo sapiens
LLGL2	LLGL1	anti tag coip	Homo sapiens
LLGL1	LLGL2	anti tag coip	Homo sapiens
SCAMP1	SCAMP3	anti tag coip	Homo sapiens
TMEM63A	TMEM63B	anti tag coip	Homo sapiens
SCAMP2	SCAMP1	anti tag coip	Homo sapiens
MAPRE3	MAPRE2	two hybrid prey pooling approach	Homo sapiens
MAPRE2	MAPRE3	validated two hybrid	Homo sapiens
MAPRE2	MAPRE3	complementation	Homo sapiens
MAPRE2	MAPRE3	mappit	Homo sapiens
MAPRE3	MAPRE2	two hybrid array	Homo sapiens
HEXA	HEXB	anti tag coip	Homo sapiens
HEXB	HEXA	x-ray diffraction	Homo sapiens
HEXA	HEXB	x-ray diffraction	Homo sapiens
HEXA	HEXB	anti tag coip	Homo sapiens
HEXA	HEXB	anti tag coip	Homo sapiens
OSBPL11	OSBPL10	anti tag coip	Homo sapiens
LRRC8A	LRRC8D	anti tag coip	Homo sapiens
LRRC8A	LRRC8D	anti tag coip	Homo sapiens
UGGT2	UGGT1	crosslink	Homo sapiens
LARP1B	LARP1	anti tag coip	Homo sapiens
LARP1B	LARP1	anti tag coip	Homo sapiens
FERMT3	FERMT2	anti tag coip	Homo sapiens
FERMT3	FERMT2	anti tag coip	Homo sapiens
TAOK2	TAOK1	pull down	Homo sapiens
REEP3	REEP4	anti tag coip	Homo sapiens
REEP3	REEP4	anti tag coip	Homo sapiens
STRN3	STRN4	proximity-dependent biotin identification	Homo sapiens
STRN3	STRN4	anti tag coip	Homo sapiens
STRN3	STRN4	anti tag coip	Homo sapiens
POC1A	POC1B	proximity-dependent biotin identification	Homo sapiens
POC1B	POC1A	proximity-dependent biotin identification	Homo sapiens
POC1A	POC1B	anti tag coip	Homo sapiens
BPGM	PGAM1	anti tag coip	Homo sapiens
BPGM	PGAM1	anti tag coip	Homo sapiens
NDRG2	NDRG1	anti tag coip	Homo sapiens
FUCA1	FUCA2	anti tag coip	Homo sapiens
DYNLT1	DYNLT3	socioaffinity inference	Homo sapiens
DYNLT1	DYNLT3	tap	Homo sapiens
DYNLT3	DYNLT1	validated two hybrid	Homo sapiens
DYNLT3	DYNLT1	two hybrid prey pooling approach	Homo sapiens
DYNLT3	DYNLT1	two hybrid array	Homo sapiens
CACNB1	CACNB3	anti tag coip	Homo sapiens
CACNB1	CACNB3	anti tag coip	Homo sapiens
CACNB1	CACNB3	anti tag coip	Homo sapiens
KIF2A	KIF2C	anti tag coip	Homo sapiens
DOCK10	DOCK9	anti tag coip	Homo sapiens
DOCK10	DOCK9	anti tag coip	Homo sapiens
ATP6V0A2	ATP6V0A1	anti tag coip	Homo sapiens
S100A1	S100P	2 hybrid	Homo sapiens
S100A1	S100P	2 hybrid	Homo sapiens
S100A1	S100P	spr	Homo sapiens
S100A1	S100P	2 hybrid	Homo sapiens
S100P	S100A1	confocal microscopy	Homo sapiens
S100P	S100A1	fret	Homo sapiens
ATG4B	ATG4A	proximity-dependent biotin identification	Homo sapiens
REEP2	REEP4	anti tag coip	Homo sapiens
REEP4	REEP2	anti tag coip	Homo sapiens
REEP2	REEP4	anti tag coip	Homo sapiens
MAPRE1	MAPRE2	anti tag coip	Homo sapiens
FAM98A	FAM98B	anti tag coip	Homo sapiens
LSM14A	LSM14B	anti tag coip	Homo sapiens
LSM14B	LSM14A	anti tag coip	Homo sapiens
STX7	STX12	anti tag coip	Homo sapiens
KHDRBS1	KHDRBS3	2h fragment pooling	Homo sapiens
ARL2	ARL3	socioaffinity inference	Homo sapiens
ARL3	ARL2	tap	Homo sapiens
EFNB2	EFNB1	anti tag coip	Homo sapiens
PRDX3	PRDX4	2 hybrid	Homo sapiens
NUDT16L1	NUDT16	anti tag coip	Homo sapiens
NUDT16L1	NUDT16	anti tag coip	Homo sapiens
FUNDC2	FUNDC1	anti tag coip	Homo sapiens
FUNDC2	FUNDC1	anti tag coip	Homo sapiens
FUNDC2	FUNDC1	anti tag coip	Homo sapiens
SEMA3C	SEMA3F	anti tag coip	Homo sapiens
SCAMP2	SCAMP3	anti tag coip	Homo sapiens
SCAMP2	SCAMP3	anti tag coip	Homo sapiens
APPL2	APPL1	anti tag coip	Homo sapiens
LATS1	LATS2	proximity-dependent biotin identification	Homo sapiens
HOMER3	HOMER1	anti tag coip	Homo sapiens
HOMER1	HOMER3	mappit	Homo sapiens
HOMER1	HOMER3	anti tag coip	Homo sapiens
HOMER1	HOMER3	validated two hybrid	Homo sapiens
HOMER1	HOMER3	two hybrid prey pooling approach	Homo sapiens
NUMB	NUMBL	anti tag coip	Homo sapiens
NUMB	NUMBL	anti tag coip	Homo sapiens
NUMB	NUMBL	anti tag coip	Homo sapiens
HOMER1	HOMER2	anti tag coip	Homo sapiens
NME3	NME4	anti tag coip	Homo sapiens
NME4	NME3	anti tag coip	Homo sapiens
NME4	NME3	anti tag coip	Homo sapiens
NME3	NME4	anti tag coip	Homo sapiens
NME3	NME4	anti tag coip	Homo sapiens
HNRNPL	HNRNPLL	anti tag coip	Homo sapiens
IMPA2	IMPA1	two hybrid prey pooling approach	Homo sapiens
IMPA2	IMPA1	two hybrid array	Homo sapiens
IMPA1	IMPA2	validated two hybrid	Homo sapiens
IMPA1	IMPA2	anti tag coip	Homo sapiens
IMPA2	IMPA1	two hybrid array	Homo sapiens
IMPA2	IMPA1	two hybrid prey pooling approach	Homo sapiens
IMPA2	IMPA1	validated two hybrid	Homo sapiens
TCF4	TCF3	anti tag coip	Homo sapiens
STAT3	STAT1	competition binding	Homo sapiens
STRN	STRN4	anti tag coip	Homo sapiens
STRN	STRN4	anti tag coip	Homo sapiens
STRN	STRN4	anti tag coip	Homo sapiens
STRN	STRN4	anti tag coip	Homo sapiens
STRN4	STRN	tap	Homo sapiens
SCRN2	SCRN1	anti tag coip	Homo sapiens
RUFY2	RUFY3	anti tag coip	Homo sapiens
RUFY2	RUFY3	anti tag coip	Homo sapiens
RUFY2	RUFY3	anti tag coip	Homo sapiens
HNRNPD	HNRNPDL	anti tag coip	Homo sapiens
HNRNPDL	HNRNPD	crosslink	Homo sapiens
MITF	TFE3	anti tag coip	Homo sapiens
MITF	TFE3	anti tag coip	Homo sapiens
MITF	TFE3	anti tag coip	Homo sapiens
FNBP1	TRIP10	fluorescence imaging	Homo sapiens
USF1	USF2	anti tag coip	Homo sapiens
USF1	USF2	anti tag coip	Homo sapiens
USF1	USF2	anti tag coip	Homo sapiens
USF1	USF2	anti bait coip	Homo sapiens
USF1	USF2	anti tag coip	Homo sapiens
RAF1	BRAF	anti bait coip	Homo sapiens
RAF1	BRAF	anti bait coip	Homo sapiens
RAF1	BRAF	anti bait coip	Homo sapiens
RAF1	BRAF	anti tag coip	Homo sapiens
BRAF	RAF1	anti bait coip	Homo sapiens
RAF1	BRAF	anti bait coip	Homo sapiens
BRAF	RAF1	anti bait coip	Homo sapiens
BRAF	RAF1	anti tag coip	Homo sapiens
DDAH2	DDAH1	anti tag coip	Homo sapiens
DDAH2	DDAH1	anti tag coip	Homo sapiens
TXLNA	TXLNG	anti tag coip	Homo sapiens
TXLNG	TXLNA	socioaffinity inference	Homo sapiens
RAP1GAP	RAP1GAP2	anti tag coip	Homo sapiens
RAP1GAP	RAP1GAP2	anti tag coip	Homo sapiens
FXR2	FMR1	tap	Homo sapiens
FXR2	FMR1	two hybrid pooling	Homo sapiens
KCTD15	KCTD1	two hybrid array	Homo sapiens
KCTD1	KCTD15	validated two hybrid	Homo sapiens
KCTD1	KCTD15	validated two hybrid	Homo sapiens
KCTD1	KCTD15	two hybrid array	Homo sapiens
KCTD15	KCTD1	two hybrid prey pooling approach	Homo sapiens
KCTD1	KCTD15	validated two hybrid	Homo sapiens
KCTD15	KCTD1	two hybrid array	Homo sapiens
KCTD15	KCTD1	two hybrid prey pooling approach	Homo sapiens
KCTD1	KCTD15	two hybrid prey pooling approach	Homo sapiens
IKBKB	CHUK	anti tag coip	Homo sapiens
CHUK	IKBKB	pla	Homo sapiens
AKR1A1	AKR1B1	anti tag coip	Homo sapiens
AKR1A1	AKR1B1	anti tag coip	Homo sapiens
SNX33	SNX18	anti tag coip	Homo sapiens
NACC2	NACC1	anti tag coip	Homo sapiens
TNFRSF10A	TNFRSF10B	anti tag coip	Homo sapiens
RAB9A	RAB7A	proximity-dependent biotin identification	Homo sapiens
CUL9	CUL7	anti tag coip	Homo sapiens
CUL9	CUL7	anti tag coip	Homo sapiens
APOBEC3F	APOBEC3G	anti tag coip	Homo sapiens
LMNA	LMNB2	proximity-dependent biotin identification	Homo sapiens
LMNA	LMNB2	pull down	Homo sapiens
LMNA	LMNB2	proximity-dependent biotin identification	Homo sapiens
HIP1R	HIP1	anti tag coip	Homo sapiens
HIP1	HIP1R	anti tag coip	Homo sapiens
HIP1R	HIP1	anti tag coip	Homo sapiens
EML1	EML4	anti tag coip	Homo sapiens
EML1	EML4	anti tag coip	Homo sapiens
EML1	EML4	anti tag coip	Homo sapiens
ELMO3	ELMO2	anti tag coip	Homo sapiens
ELMO3	ELMO2	anti tag coip	Homo sapiens
ELMO3	ELMO2	anti tag coip	Homo sapiens
FNIP1	FNIP2	anti bait coip	Homo sapiens
FNIP1	FNIP2	anti tag coip	Homo sapiens
FNIP1	FNIP2	anti tag coip	Homo sapiens
FNIP1	FNIP2	anti tag coip	Homo sapiens
FNIP1	FNIP2	anti tag coip	Homo sapiens
FNIP2	FNIP1	anti tag coip	Homo sapiens
FNIP1	FNIP2	pull down	Homo sapiens
TARS2	TARS3	two hybrid array	Homo sapiens
TARS3	TARS2	validated two hybrid	Homo sapiens
TARS2	TARS3	two hybrid prey pooling approach	Homo sapiens
USP25	USP28	anti tag coip	Homo sapiens
USP25	USP28	anti tag coip	Homo sapiens
NONO	SFPQ	crosslink	Homo sapiens
NONO	SFPQ	anti tag coip	Homo sapiens
NONO	SFPQ	2 hybrid	Homo sapiens
NBPF3	NBPF1	anti tag coip	Homo sapiens
NBPF3	NBPF1	anti tag coip	Homo sapiens
ADD1	ADD3	anti tag coip	Homo sapiens
PSME1	PSME2	two hybrid array	Homo sapiens
PSME1	PSME2	validated two hybrid	Homo sapiens
PSME1	PSME2	two hybrid prey pooling approach	Homo sapiens
PSME1	PSME2	two hybrid prey pooling approach	Homo sapiens
PSME1	PSME2	two hybrid array	Homo sapiens
KDM4B	KDM4A	anti tag coip	Homo sapiens
KDM4B	KDM4A	anti tag coip	Homo sapiens
KDM4B	KDM4A	anti tag coip	Homo sapiens
LPIN2	LPIN1	anti tag coip	Homo sapiens
REEP3	REEP2	anti tag coip	Homo sapiens
APP	APLP2	anti tag coip	Homo sapiens
APLP2	APP	anti tag coip	Homo sapiens
BCAP31	BCAP29	anti tag coip	Homo sapiens
BCAP31	BCAP29	crosslink	Homo sapiens
BCAP29	BCAP31	anti tag coip	Homo sapiens
BCAP31	BCAP29	anti tag coip	Homo sapiens
CPEB4	CPEB2	anti tag coip	Homo sapiens
DNAJB6	DNAJB2	anti tag coip	Homo sapiens
DNAJB6	DNAJB2	anti tag coip	Homo sapiens
CISD1	CISD2	anti tag coip	Homo sapiens
CISD2	CISD1	anti tag coip	Homo sapiens
NR1D2	NR1D1	anti tag coip	Homo sapiens
NR1D2	NR1D1	anti tag coip	Homo sapiens
ERAP1	ERAP2	confocal microscopy	Homo sapiens
ERAP1	ERAP2	anti bait coip	Homo sapiens
ERAP1	ERAP2	anti bait coip	Homo sapiens
ERAP1	ERAP2	anti bait coip	Homo sapiens
ERAP1	ERAP2	anti bait coip	Homo sapiens
IDH3B	IDH3G	anti tag coip	Homo sapiens
IDH3B	IDH3G	anti tag coip	Homo sapiens
DENND4A	DENND4C	socioaffinity inference	Homo sapiens
DNMT3A	DNMT3B	anti tag coip	Homo sapiens
NDFIP2	NDFIP1	anti tag coip	Homo sapiens
EPS15	EPS15L1	anti tag coip	Homo sapiens
EPS15L1	EPS15	anti tag coip	Homo sapiens
EPS15L1	EPS15	anti tag coip	Homo sapiens
RGS20	RGS19	anti tag coip	Homo sapiens
RGS20	RGS19	anti tag coip	Homo sapiens
ECHDC2	AUH	anti tag coip	Homo sapiens
ECHDC2	AUH	anti tag coip	Homo sapiens
NSFL1C	UBXN2B	anti tag coip	Homo sapiens
TXNRD2	TXNRD1	anti tag coip	Homo sapiens
TXNRD2	TXNRD1	anti tag coip	Homo sapiens
ACVR1	TGFBR1	ub reconstruction	Homo sapiens
ACVR1	ACVR1B	anti tag coip	Homo sapiens
LPIN3	LPIN2	anti tag coip	Homo sapiens
LPIN3	LPIN2	anti tag coip	Homo sapiens
LPIN3	LPIN2	anti tag coip	Homo sapiens
LRIG1	LRIG3	anti tag coip	Homo sapiens
LRIG1	LRIG3	anti bait coip	Homo sapiens
LRIG1	LRIG3	anti bait coip	Homo sapiens
LRIG1	LRIG3	anti bait coip	Homo sapiens
LRIG1	LRIG3	anti bait coip	Homo sapiens
LRIG1	LRIG3	anti bait coip	Homo sapiens
LRIG1	LRIG3	anti bait coip	Homo sapiens
LRIG1	LRIG3	anti tag coip	Homo sapiens
LRIG1	LRIG3	anti tag coip	Homo sapiens
LRIG1	LRIG3	anti tag coip	Homo sapiens
SEPTIN5	SEPTIN7	2 hybrid	Homo sapiens
SEPTIN7	SEPTIN5	anti tag coip	Homo sapiens
SEPTIN5	SEPTIN7	2 hybrid	Homo sapiens
SEPTIN7	SEPTIN5	anti tag coip	Homo sapiens
SEPTIN7	SEPTIN5	anti tag coip	Homo sapiens
SEPTIN7	SEPTIN5	anti tag coip	Homo sapiens
PPP1R12A	PPP1R12B	pull down	Homo sapiens
PPP1R12A	PPP1R12B	proximity-dependent biotin identification	Homo sapiens
JUN	JUND	anti bait coip	Homo sapiens
JUN	JUND	tap	Homo sapiens
JUN	JUND	tap	Homo sapiens
JUN	JUND	anti bait coip	Homo sapiens
COL4A1	COL4A2	x-ray diffraction	Homo sapiens
COL4A1	COL4A2	molecular sieving	Homo sapiens
LRIG1	LRIG2	anti tag coip	Homo sapiens
LRIG1	LRIG2	anti tag coip	Homo sapiens
LRIG1	LRIG2	anti tag coip	Homo sapiens
SLC35A3	SLC35A2	anti tag coip	Homo sapiens
SLC35A2	SLC35A3	anti tag coip	Homo sapiens
SLC35A3	SLC35A2	fret	Homo sapiens
SLC35A2	SLC35A3	anti tag coip	Homo sapiens
SLC35A2	SLC35A3	fret	Homo sapiens
TRIM24	TRIM33	tap	Homo sapiens
DIPK1A	DIPK1B	anti tag coip	Homo sapiens
FLOT2	FLOT1	crosslink	Homo sapiens
JUNB	JUN	anti tag coip	Homo sapiens
JUN	JUNB	anti bait coip	Homo sapiens
JUNB	JUN	anti tag coip	Homo sapiens
PHLPP1	PHLPP2	anti tag coip	Homo sapiens
PHLPP1	PHLPP2	anti tag coip	Homo sapiens
PSMC1	PSMC4	anti tag coip	Homo sapiens
TBC1D15	TBC1D17	anti tag coip	Homo sapiens
TBC1D15	TBC1D17	anti tag coip	Homo sapiens
TBC1D15	TBC1D17	anti tag coip	Homo sapiens
TBC1D15	TBC1D17	anti tag coip	Homo sapiens
DDHD2	SEC23IP	anti tag coip	Homo sapiens
DDHD2	SEC23IP	anti tag coip	Homo sapiens
TPD52	TPD52L2	2 hybrid	Homo sapiens
TPD52	TPD52L2	2 hybrid	Homo sapiens
TPD52L2	TPD52	2 hybrid	Homo sapiens
TPD52	TPD52L2	2 hybrid	Homo sapiens
TPD52	TPD52L2	anti tag coip	Homo sapiens
TPD52L2	TPD52	anti tag coip	Homo sapiens
TPD52	TPD52L2	anti tag coip	Homo sapiens
TPD52	TPD52L2	anti tag coip	Homo sapiens
TPD52L2	TPD52	anti tag coip	Homo sapiens
SMAP1	SMAP2	validated two hybrid	Homo sapiens
SMAP2	SMAP1	two hybrid prey pooling approach	Homo sapiens
SMAP2	SMAP1	two hybrid array	Homo sapiens
NUBP1	NUBP2	anti tag coip	Homo sapiens
NUBP2	NUBP1	anti tag coip	Homo sapiens
SCMH1	SCML2	tap	Homo sapiens
MTMR3	MTMR4	anti tag coip	Homo sapiens
MTMR4	MTMR3	anti tag coip	Homo sapiens
MTMR3	MTMR4	proximity-dependent biotin identification	Homo sapiens
MTMR4	MTMR3	proximity-dependent biotin identification	Homo sapiens
ZNF397	ZSCAN30	anti tag coip	Homo sapiens
ZNF397	ZSCAN30	anti tag coip	Homo sapiens
SNTB2	SNTA1	anti tag coip	Homo sapiens
SNTB2	SNTA1	anti tag coip	Homo sapiens
SNTB2	SNTA1	anti tag coip	Homo sapiens
LRRC8B	LRRC8D	anti tag coip	Homo sapiens
LRRC8B	LRRC8D	anti tag coip	Homo sapiens
CHD7	CHD8	bifc	Homo sapiens
CHD8	CHD7	anti tag coip	Homo sapiens
CHD8	CHD7	anti tag coip	Homo sapiens
RUFY1	RUFY3	anti tag coip	Homo sapiens
RUFY1	RUFY3	anti tag coip	Homo sapiens
RUFY1	RUFY3	anti tag coip	Homo sapiens
RUFY1	RUFY3	anti tag coip	Homo sapiens
GGA2	GGA1	anti tag coip	Homo sapiens
GGA1	GGA2	pull down	Homo sapiens
GGA2	GGA1	pull down	Homo sapiens
GGA1	GGA2	confocal microscopy	Homo sapiens
GGA1	GGA2	confocal microscopy	Homo sapiens
GGA1	GGA2	electron microscopy	Homo sapiens
GGA1	GGA2	electron microscopy	Homo sapiens
PPFIBP2	PPFIBP1	anti tag coip	Homo sapiens
DGUOK	DCK	anti tag coip	Homo sapiens
DCK	DGUOK	anti tag coip	Homo sapiens
DCK	DGUOK	anti tag coip	Homo sapiens
DGUOK	DCK	anti tag coip	Homo sapiens
DCK	DGUOK	anti tag coip	Homo sapiens
S100A4	S100A6	anti tag coip	Homo sapiens
HMG20B	HMG20A	anti tag coip	Homo sapiens
HMG20A	HMG20B	anti tag coip	Homo sapiens
KIF3A	KIF3B	anti tag coip	Homo sapiens
KIF3A	KIF3B	anti tag coip	Homo sapiens
KIF3B	KIF3A	tap	Homo sapiens
KIF3B	KIF3A	socioaffinity inference	Homo sapiens
FGFR1OP2	SIKE1	anti tag coip	Homo sapiens
SIKE1	FGFR1OP2	anti tag coip	Homo sapiens
SIKE1	FGFR1OP2	anti tag coip	Homo sapiens
SIKE1	FGFR1OP2	anti tag coip	Homo sapiens
SIKE1	FGFR1OP2	anti tag coip	Homo sapiens
TRAK2	TRAK1	anti tag coip	Homo sapiens
TRAK2	TRAK1	anti tag coip	Homo sapiens
EVL	ENAH	anti tag coip	Homo sapiens
EVL	ENAH	anti tag coip	Homo sapiens
EVL	ENAH	anti tag coip	Homo sapiens
VASP	EVL	anti tag coip	Homo sapiens
EVL	VASP	anti tag coip	Homo sapiens
VASP	EVL	anti tag coip	Homo sapiens
VASP	EVL	anti tag coip	Homo sapiens
ACVR1	BMPR1A	anti tag coip	Homo sapiens
ACVR1	BMPR1A	anti tag coip	Homo sapiens
ACVR1	BMPR1A	anti tag coip	Homo sapiens
IP6K2	IP6K1	anti tag coip	Homo sapiens
BCL7C	BCL7B	anti tag coip	Homo sapiens
BCL7C	BCL7B	anti tag coip	Homo sapiens
BCL7C	BCL7B	anti tag coip	Homo sapiens
PSMC5	PSMC2	anti tag coip	Homo sapiens
PSMC2	PSMC5	anti tag coip	Homo sapiens
TAF15	FUS	pull down	Homo sapiens
FUS	TAF15	pull down	Homo sapiens
FCHO1	FCHO2	anti tag coip	Homo sapiens
FCHO1	FCHO2	anti tag coip	Homo sapiens
FCHO1	FCHO2	anti tag coip	Homo sapiens
HOMER3	HOMER2	anti tag coip	Homo sapiens
HOMER3	HOMER2	anti tag coip	Homo sapiens
KLHL2	KLHL17	anti tag coip	Homo sapiens
KLHL2	KLHL17	anti tag coip	Homo sapiens
KLHL2	KLHL17	anti tag coip	Homo sapiens
KLHL2	KLHL17	anti tag coip	Homo sapiens
EHMT2	EHMT1	tap	Homo sapiens
EHMT2	EHMT1	tap	Homo sapiens
LPIN3	LPIN1	anti tag coip	Homo sapiens
LPIN3	LPIN1	anti tag coip	Homo sapiens
LPIN3	LPIN1	anti tag coip	Homo sapiens
RSBN1L	RSBN1	anti tag coip	Homo sapiens
RSBN1L	RSBN1	anti tag coip	Homo sapiens
RSBN1L	RSBN1	anti tag coip	Homo sapiens
TRIM52	TRIM41	two hybrid array	Homo sapiens
MAP3K6	MAP3K5	2 hybrid	Homo sapiens
MAP3K5	MAP3K6	anti tag coip	Homo sapiens
ASAP3	ASAP2	anti tag coip	Homo sapiens
ASAP3	ASAP2	anti tag coip	Homo sapiens
TPD52L2	TPD52L1	anti tag coip	Homo sapiens
TPD52L2	TPD52L1	2 hybrid	Homo sapiens
TPD52L2	TPD52L1	2 hybrid	Homo sapiens
TPD52L1	TPD52L2	2 hybrid	Homo sapiens
TPD52L2	TPD52L1	2 hybrid	Homo sapiens
TPD52L1	TPD52L2	anti tag coip	Homo sapiens
TPD52L2	TPD52L1	anti tag coip	Homo sapiens
TPD52L1	TPD52L2	anti tag coip	Homo sapiens
IRF2BP1	IRF2BPL	anti tag coip	Homo sapiens
IRF2BP1	IRF2BPL	anti tag coip	Homo sapiens
IRF2BP1	IRF2BPL	anti tag coip	Homo sapiens
UPF3A	UPF3B	pull down	Homo sapiens
UPF3B	UPF3A	pull down	Homo sapiens
RNF13	RNF167	anti tag coip	Homo sapiens
RNF13	RNF167	anti tag coip	Homo sapiens
FAM118A	FAM118B	validated two hybrid	Homo sapiens
FAM118A	FAM118B	two hybrid prey pooling approach	Homo sapiens
FAM118A	FAM118B	two hybrid array	Homo sapiens
FAM118A	FAM118B	two hybrid prey pooling approach	Homo sapiens
FAM118A	FAM118B	two hybrid array	Homo sapiens
FAM118B	FAM118A	validated two hybrid	Homo sapiens
SIPA1L2	SIPA1L3	anti tag coip	Homo sapiens
SIPA1L2	SIPA1L3	anti tag coip	Homo sapiens
SIPA1L3	SIPA1L2	anti tag coip	Homo sapiens
SIPA1L2	SIPA1L3	anti tag coip	Homo sapiens
USP11	USP4	anti tag coip	Homo sapiens
ZNF397	ZKSCAN8	anti tag coip	Homo sapiens
SEMA3C	SEMA3A	anti tag coip	Homo sapiens
STIM2	STIM1	anti tag coip	Homo sapiens
STIM2	STIM1	anti bait coip	Homo sapiens
STIM2	STIM1	anti bait coip	Homo sapiens
STIM1	STIM2	anti bait coip	Homo sapiens
STIM2	STIM1	anti bait coip	Homo sapiens
SAT1	SAT2	validated two hybrid	Homo sapiens
SAT2	SAT1	two hybrid prey pooling approach	Homo sapiens
SAT2	SAT1	two hybrid array	Homo sapiens
OCRL	INPP5B	anti tag coip	Homo sapiens
OCRL	INPP5B	anti tag coip	Homo sapiens
PRAF2	ARL6IP5	crosslink	Homo sapiens
ARL6IP5	PRAF2	anti bait coip	Homo sapiens
PRAF2	ARL6IP5	imaging technique	Homo sapiens
PRAF2	ARL6IP5	imaging technique	Homo sapiens
IFIT2	IFIT1	anti tag coip	Homo sapiens
IFIT2	IFIT1	molecular sieving	Homo sapiens
IFIT1	IFIT2	anti tag coip	Homo sapiens
IFIT2	IFIT1	anti tag coip	Homo sapiens
IFIT2	IFIT1	anti tag coip	Homo sapiens
IFIT2	IFIT1	anti tag coip	Homo sapiens
IFIT2	IFIT1	anti tag coip	Homo sapiens
ZNF397	ZSCAN21	anti tag coip	Homo sapiens
MITF	TFEB	anti tag coip	Homo sapiens
TFEB	MITF	anti tag coip	Homo sapiens
MITF	TFEB	anti tag coip	Homo sapiens
MITF	TFEB	anti tag coip	Homo sapiens
TFEB	MITF	anti tag coip	Homo sapiens
ATG4D	ATG4C	proximity-dependent biotin identification	Homo sapiens
ATG4C	ATG4D	anti tag coip	Homo sapiens
RFFL	RNF34	anti tag coip	Homo sapiens
RFFL	RNF34	anti tag coip	Homo sapiens
HDHD2	LHPP	anti tag coip	Homo sapiens
HDHD2	LHPP	anti tag coip	Homo sapiens
C1R	C1RL	anti tag coip	Homo sapiens
C1R	C1RL	anti tag coip	Homo sapiens
C1R	C1RL	anti tag coip	Homo sapiens
EPB41L2	EPB41L1	anti tag coip	Homo sapiens
